run,t,S
0,469,8.525722445528878
0,470,32.714994171845355
0,471,17.183492947637752
0,472,10.111927505198734
0,473,28.96095479023061
0,474,23.997897354868552
0,475,8.258717391423986
0,476,20.381251646654515
0,477,19.45771487862242
0,478,32.876068705700675
0,479,33.22725291504854
0,480,34.06453358988563
0,481,38.41948641101086
0,482,7.872624463155415
0,483,38.0919889628918
0,484,5.609472256822569
0,485,16.470687116871378
0,486,11.814962192898225
0,487,9.734092661976405
0,488,8.389092409821181
0,489,25.722576417449016
0,490,28.35316222328505
0,491,25.917378778657806
0,492,15.697663248222856
0,493,16.203266919392476
0,494,29.555955999206244
0,495,9.935510278087628
0,496,8.682032759475366
0,497,7.502205720351318
0,498,7.942134802020827
0,499,29.44682231708319
0,500,32.27120711657413
0,501,27.695441719345173
0,502,7.419181243624188
0,503,13.872162205791192
0,504,8.201357529094418
0,505,5.977245420541068
0,506,4.636880932210377
0,507,29.97396503030902
0,508,7.1956252309112845
0,509,9.265347338134307
0,510,7.217446626949365
0,511,13.044045266946252
0,512,46.782341253529076
0,513,13.940807888148335
0,514,11.496526732426135
0,515,10.841257696036855
0,516,22.091626257193536
0,517,11.004123213015408
0,518,10.26963107206606
0,519,26.433664200772878
0,520,9.395430480004785
0,521,14.380093510233838
0,522,8.03581543386504
0,523,13.327191134619852
0,524,5.703878587002169
0,525,23.80717749035508
0,526,29.861715843439907
0,527,33.28723212590516
0,528,27.12568754212765
0,529,9.605008098960841
0,530,23.547603951684142
0,531,8.804765416404898
0,532,6.541531691658734
0,533,6.866452662405502
0,534,12.519796772106064
0,535,8.223249140859293
0,536,5.308900448234346
0,537,16.666688001148998
0,538,6.858555468486398
0,539,8.954811364061902
0,540,7.108413546875406
0,541,18.314968667209406
0,542,11.362476025489153
0,543,7.246983095706661
0,544,8.268208441937983
0,545,10.626156426558959
0,546,11.246714439704327
0,547,6.31396054236772
0,548,8.792295610098781
0,549,15.011897112197685
0,550,7.682962980803569
0,551,7.940128043479541
0,552,18.39632521170397
0,553,16.534460833502095
0,554,8.040023039236125
0,555,22.92654399001173
0,556,6.715641188904158
0,557,7.966600579706621
0,558,5.832005092025371
0,559,6.834633273065602
0,560,11.693944523246973
0,561,14.430961815109155
0,562,4.236397828531824
0,563,6.966968031837992
0,564,11.490478182239368
0,565,4.138321359378578
0,566,8.021514286510516
0,567,13.43519225190053
0,568,5.545389828680979
0,569,9.528027490798037
0,570,7.623999909264795
0,571,19.460090283980698
0,572,7.1102949563446955
0,573,11.476833084774812
0,574,7.626162679134956
0,575,21.786724257510627
0,576,6.965320901818797
0,577,4.969621918588369
0,578,7.525124891948942
0,579,10.955031319850413
0,580,5.985753270892037
0,581,7.496248744491097
0,582,10.376107991023167
0,583,4.512065800096389
0,584,6.078091956130658
0,585,8.169353744802745
0,586,10.218343151924937
0,587,7.5440061800917
0,588,7.285890413923951
0,589,8.75096524845582
0,590,9.553580615678344
0,591,4.2668526851076685
0,592,2.3362462380930276
0,593,24.31823607466486
0,594,4.456440649044497
0,595,9.777617750297521
0,596,8.434499278367317
0,597,14.690245237260783
0,598,11.288272986880548
0,599,2.28729067210418
0,600,8.423538385058396
0,601,11.352778475221376
0,602,6.22793172689497
0,603,3.6278716602776555
0,604,7.630379374617376
0,605,9.711569455636496
0,606,24.289472601652513
0,607,5.194054737650379
0,608,6.988188785391094
0,609,5.315855443744922
0,610,6.566201103976209
0,611,8.572496765538155
0,612,7.639090119976094
0,613,22.85917431402323
0,614,9.230859594162315
0,615,3.4802232934337334
0,616,5.631661366386956
0,617,3.0253625080547852
0,618,9.1206554388884
0,619,18.74032119070783
0,620,10.82010409723216
0,621,7.964729932028836
0,622,3.228806218620054
0,623,7.431903307410046
0,624,3.7492355250855223
0,625,4.310372958027142
0,626,2.5150513768213747
0,627,3.5710665105052763
0,628,5.291332882597539
0,629,4.567650244960981
0,630,4.813482516414959
0,631,4.008209508379329
0,632,14.97572408635504
0,633,3.7235926923484017
0,634,3.9850417164577907
0,635,5.460053924340805
0,636,4.5474186096759555
0,637,3.9099616413147285
0,638,3.0445447332185305
0,639,18.17008607259897
0,640,3.358298847306403
0,641,4.602254154875818
0,642,2.6763160716431127
0,643,6.704473082131396
0,644,3.684380737013388
0,645,1.5521777093022728
0,646,12.296727288941309
0,647,6.504156598197679
0,648,5.386157435796625
0,649,6.087433803882361
0,650,1.4389978982159222
0,651,5.3553809146419935
0,652,0.7482635675785662
0,653,2.9116180971575685
0,654,3.515346096954519
0,655,2.388638660158882
0,656,5.442959621178497
0,657,3.6757840743342487
0,658,4.066872459751316
0,659,4.850489492918291
0,660,5.113925323231397
0,661,0.9607894391523234
0,662,0.8436648165963843
0,663,3.019012041188263
0,664,5.05216316603558
0,665,4.918149081797479
0,666,1.7227932692398915
0,667,2.479829477570562
0,668,1.4817105238028565
0,669,3.534273696683335
0,670,0.8958341352965287
0,671,2.6031832632841687
0,672,4.217531776609395
0,673,2.444599883587279
0,674,1.6959781878363311
0,675,1.73003020757212
0,676,1.7676640313172212
0,677,0.9801986733067554
0,678,1.7511245729839309
0,679,0.9900498337491681
0,680,2.5315825184692526
0,681,3.374828000754969
0,682,3.573822279792785
0,683,2.7162181427176426
0,684,3.752871928398953
0,685,0.90483741803596
0,686,0.9801986733067554
0,687,0
0,688,2.8924087404395125
0,689,1.9125924932127039
0,690,0.9323938199059485
0,691,0.9323938199059485
0,692,0.9607894391523234
0,693,0.9801986733067554
0,694,0.9607894391523234
0,695,0
0,696,0.9607894391523234
0,697,0.9704455335485083
0,698,0
0,699,0
