onboard,engage,source,target,t,intimacy
False,False,13,15,21,0.9802960494069208
False,False,5,1,21,0.9900990099009901
False,False,5,10,21,0.9900990099009901
False,False,1,0,22,1.042934791516546
False,False,0,1,22,0.08195444703372955
False,False,2,0,22,0.08195444703372955
False,False,0,2,22,0.08195444703372955
False,False,2,1,22,0.08195444703372955
False,False,1,2,22,1.042934791516546
False,False,3,0,22,0.8277399150406684
False,False,3,4,22,1.715189140305822
False,False,4,0,22,0.8443774873329858
False,False,4,1,22,0.8443774873329858
False,False,4,5,22,0.8443774873329858
False,False,6,2,22,0.8443774873329858
False,False,6,3,22,2.6550410290907043
False,False,7,8,22,0.8613494748283788
False,False,4,2,22,0.8699629695766625
False,False,4,6,22,0.8699629695766625
False,False,3,6,22,2.725454234665272
False,False,6,9,22,0.896323717517805
False,False,12,2,22,0.896323717517805
False,False,7,5,22,0.914339824239913
False,False,7,6,22,0.914339824239913
False,False,7,12,22,0.914339824239913
False,False,13,3,22,0.9234832224823122
False,False,13,12,22,1.8940733704099564
False,False,2,4,22,0.9327180547071353
False,False,12,3,22,0.9327180547071353
False,False,12,7,22,0.9327180547071353
False,False,14,6,22,0.9327180547071353
False,False,14,9,22,0.9327180547071353
False,False,1,11,22,0.9609803444828162
False,False,7,9,22,0.9609803444828162
False,False,17,7,22,0.9609803444828162
False,False,17,8,22,0.9609803444828162
False,False,17,15,22,0.9609803444828162
False,False,19,1,22,0.9609803444828162
False,False,19,4,22,0.9609803444828162
False,False,13,15,22,0.9705901479276444
False,False,5,1,22,0.9802960494069208
False,False,5,10,22,0.9802960494069208
False,False,5,16,22,0.9900990099009901
False,False,7,11,22,0.9900990099009901
False,False,1,0,23,1.0326087044718275
False,False,0,1,23,0.08114301686507876
False,False,2,0,23,0.08114301686507876
False,False,0,2,23,0.08114301686507876
False,False,2,1,23,0.08114301686507876
False,False,1,2,23,1.0326087044718275
False,False,3,0,23,0.8195444703372954
False,False,3,4,23,1.6982070696097247
False,False,4,0,23,0.8360173141910751
False,False,4,1,23,0.8360173141910751
False,False,4,5,23,0.8360173141910751
False,False,6,2,23,0.8360173141910751
False,False,6,3,23,2.6287534941492123
False,False,7,8,23,0.8528212622063156
False,False,4,2,23,0.8613494748283788
False,False,4,6,23,0.8613494748283788
False,False,3,6,23,2.698469539272547
False,False,6,9,23,0.8874492252651535
False,False,12,2,23,0.8874492252651535
False,False,7,5,23,0.9052869546929831
False,False,7,6,23,0.9052869546929831
False,False,7,12,23,0.9052869546929831
False,False,13,3,23,0.914339824239913
False,False,13,12,23,1.875320168722729
False,False,2,4,23,0.9234832224823122
False,False,12,3,23,0.9234832224823122
False,False,12,7,23,0.9234832224823122
False,False,14,6,23,0.9234832224823122
False,False,14,9,23,0.9234832224823122
False,False,1,11,23,0.9514656876067488
False,False,7,9,23,0.9514656876067488
False,False,17,7,23,0.9514656876067488
False,False,17,8,23,0.9514656876067488
False,False,17,15,23,0.9514656876067488
False,False,19,1,23,0.9514656876067488
False,False,19,4,23,0.9514656876067488
False,False,13,15,23,0.9609803444828162
False,False,5,1,23,0.9705901479276444
False,False,5,10,23,0.9705901479276444
False,False,5,16,23,0.9802960494069208
False,False,7,11,23,0.9802960494069208
False,False,4,18,23,0.9900990099009901
False,False,1,0,24,1.0223848559127005
False,False,0,1,24,0.08033962065849382
False,False,2,0,24,0.08033962065849382
False,False,0,2,24,0.08033962065849382
False,False,2,1,24,0.08033962065849382
False,False,1,2,24,1.0223848559127005
False,False,3,0,24,0.8114301686507875
False,False,3,4,24,1.68139313822745
False,False,4,0,24,0.8277399150406684
False,False,4,1,24,0.8277399150406684
False,False,4,5,24,0.8277399150406684
False,False,6,2,24,0.8277399150406684
False,False,6,3,24,2.6027262318309035
False,False,7,8,24,0.8443774873329858
False,False,4,2,24,0.8528212622063156
False,False,4,6,24,0.8528212622063156
False,False,3,6,24,2.6717520190817297
False,False,6,9,24,0.8786625992724292
False,False,12,2,24,0.8786625992724292
False,False,7,5,24,0.896323717517805
False,False,7,6,24,0.896323717517805
False,False,7,12,24,0.896323717517805
False,False,13,3,24,0.9052869546929831
False,False,13,12,24,1.8567526422997316
False,False,2,4,24,0.914339824239913
False,False,12,3,24,0.914339824239913
False,False,12,7,24,0.914339824239913
False,False,14,6,24,0.914339824239913
False,False,14,9,24,0.914339824239913
False,False,1,11,24,0.9420452352542067
False,False,7,9,24,0.9420452352542067
False,False,17,7,24,0.9420452352542067
False,False,17,8,24,0.9420452352542067
False,False,17,15,24,0.9420452352542067
False,False,19,1,24,0.9420452352542067
False,False,19,4,24,0.9420452352542067
False,False,13,15,24,0.9514656876067488
False,False,5,1,24,0.9609803444828162
False,False,5,10,24,0.9609803444828162
False,False,5,16,24,0.9705901479276444
False,False,7,11,24,0.9705901479276444
False,False,4,18,24,0.9802960494069208
False,False,8,9,24,0.9900990099009901
False,False,20,23,24,0.9900990099009901
False,False,1,0,25,1.0122622335769311
False,False,0,1,25,0.07954417886979585
False,False,2,0,25,0.07954417886979585
False,False,0,2,25,0.07954417886979585
False,False,2,1,25,0.07954417886979585
False,False,1,2,25,1.0122622335769311
False,False,3,0,25,0.8033962065849382
False,False,3,4,25,1.6647456814133168
False,False,4,0,25,0.8195444703372954
False,False,4,1,25,0.8195444703372954
False,False,4,5,25,0.8195444703372954
False,False,6,2,25,0.8195444703372954
False,False,6,3,25,2.5769566651791123
False,False,7,8,25,0.8360173141910751
False,False,4,2,25,0.8443774873329858
False,False,4,6,25,0.8443774873329858
False,False,3,6,25,2.645299028793792
False,False,6,9,25,0.8699629695766625
False,False,12,2,25,0.8699629695766625
False,False,7,5,25,0.8874492252651535
False,False,7,6,25,0.8874492252651535
False,False,7,12,25,0.8874492252651535
False,False,13,3,25,0.896323717517805
False,False,13,12,25,1.8383689527720115
False,False,2,4,25,0.9052869546929831
False,False,12,3,25,0.9052869546929831
False,False,12,7,25,0.9052869546929831
False,False,14,6,25,0.9052869546929831
False,False,14,9,25,0.9052869546929831
False,False,1,11,25,0.9327180547071353
False,False,7,9,25,0.9327180547071353
False,False,17,7,25,0.9327180547071353
False,False,17,8,25,0.9327180547071353
False,False,17,15,25,0.9327180547071353
False,False,19,1,25,0.9327180547071353
False,False,19,4,25,0.9327180547071353
False,False,13,15,25,0.9420452352542067
False,False,5,1,25,0.9514656876067488
False,False,5,10,25,0.9514656876067488
False,False,5,16,25,0.9609803444828162
False,False,7,11,25,0.9609803444828162
False,False,4,18,25,0.9705901479276444
False,False,8,9,25,0.9802960494069208
False,False,20,23,25,0.9802960494069208
False,False,9,4,25,0.9900990099009901
False,False,9,11,25,0.9900990099009901
False,False,1,0,26,1.0022398352246842
False,False,0,1,26,0.07875661274237213
False,False,2,0,26,0.07875661274237213
False,False,0,2,26,0.07875661274237213
False,False,2,1,26,0.07875661274237213
False,False,1,2,26,1.0022398352246842
False,False,3,0,26,0.7954417886979586
False,False,3,4,26,1.648263050904274
False,False,4,0,26,0.8114301686507875
False,False,4,1,26,0.8114301686507875
False,False,4,5,26,0.8114301686507875
False,False,6,2,26,0.8114301686507875
False,False,6,3,26,2.5514422427515964
False,False,7,8,26,0.8277399150406684
False,False,4,2,26,0.8360173141910751
False,False,4,6,26,0.8360173141910751
False,False,3,6,26,2.619107949300784
False,False,6,9,26,0.8613494748283788
False,False,12,2,26,0.8613494748283788
False,False,7,5,26,0.8786625992724292
False,False,7,6,26,0.8786625992724292
False,False,7,12,26,0.8786625992724292
False,False,13,3,26,0.8874492252651535
False,False,13,12,26,1.8201672799722886
False,False,2,4,26,0.896323717517805
False,False,12,3,26,0.896323717517805
False,False,12,7,26,0.896323717517805
False,False,14,6,26,0.896323717517805
False,False,14,9,26,0.896323717517805
False,False,1,11,26,0.9234832224823122
False,False,7,9,26,0.9234832224823122
False,False,17,7,26,0.9234832224823122
False,False,17,8,26,0.9234832224823122
False,False,17,15,26,0.9234832224823122
False,False,19,1,26,0.9234832224823122
False,False,19,4,26,0.9234832224823122
False,False,13,15,26,0.9327180547071353
False,False,5,1,26,0.9420452352542067
False,False,5,10,26,0.9420452352542067
False,False,5,16,26,0.9514656876067488
False,False,7,11,26,0.9514656876067488
False,False,4,18,26,0.9609803444828162
False,False,8,9,26,0.9705901479276444
False,False,20,23,26,0.9705901479276444
False,False,9,4,26,0.9802960494069208
False,False,9,11,26,0.9802960494069208
False,False,1,0,27,0.9923166685392912
False,False,0,1,27,0.07797684429937835
False,False,2,0,27,0.07797684429937835
False,False,0,2,27,0.07797684429937835
False,False,2,1,27,0.07797684429937835
False,False,1,2,27,0.9923166685392912
False,False,3,0,27,0.7875661274237213
False,False,3,4,27,1.6319436147567068
False,False,4,0,27,0.8033962065849382
False,False,4,1,27,0.8033962065849382
False,False,4,5,27,0.8033962065849382
False,False,6,2,27,0.8033962065849382
False,False,6,3,27,2.526180438367917
False,False,7,8,27,0.8195444703372954
False,False,4,2,27,0.8277399150406684
False,False,4,6,27,0.8277399150406684
False,False,3,6,27,2.5931761874265185
False,False,6,9,27,0.8528212622063156
False,False,12,2,27,0.8528212622063156
False,False,7,5,27,0.8699629695766625
False,False,7,6,27,0.8699629695766625
False,False,7,12,27,1.8600619794776527
False,False,13,3,27,0.8786625992724292
False,False,13,12,27,1.802145821754741
False,False,2,4,27,0.8874492252651535
False,False,12,3,27,0.8874492252651535
False,False,12,7,27,0.8874492252651535
False,False,14,6,27,0.8874492252651535
